Symbol,Type,Quantity,Price,Value,Fees,Date
BTC,Buy,0.01713112,"€5,837.33",€100.00,€0.00,"Jun 12, 2018, 4:16:32 PM"
BTC,Payment,0.00893541,"$7,252.05",$64.80,$0.00,"Jul 20, 2018, 7:28:14 AM"
BTC,Sell,0.00819571,"€5,504.07",€45.10,€0.00,"Aug 19, 2018, 10:43:55 PM"
BTC,Other,0.00893541,"$7,252.05",$64.80,$0.00,"Aug 21, 2018, 9:20:13 PM"
BTC,Sell,0.00879132,"€5,687.43",€50.00,€0.00,"Aug 27, 2018, 10:09:18 AM"
BTC,Sell,0.0001421,"€3,237.31",€0.46,€0.00,"Mar 5, 2019, 10:37:56 AM"
BTC,Buy,0.0087862,"€5,690.74",€50.00,€0.00,"Mar 28, 2020, 6:17:03 PM"
BTC,Sell,0.00338913,"€5,901.23",€20.00,€0.00,"Mar 31, 2020, 12:30:08 AM"
BTC,Buy,0.00862756,"€6,333.30",€54.65,€0.00,"Apr 13, 2020, 1:49:57 PM"
BTC,Sell,0.012578,"€7,950.39",€100.00,€0.00,"May 12, 2020, 8:17:27 AM"
BTC,Sell,0.00144862,"€8,116.32",€11.75,€0.00,"May 27, 2020, 3:38:44 PM"
BTC,Buy,0.00045547,"€21,954.91",€10.00,€0.25,"Dec 29, 2020, 2:50:58 PM"
ETH,Buy,0.0167597,€596.67,€10.00,€0.25,"Dec 29, 2020, 2:54:12 PM"
XRP,Buy,307.884919,€0.16,€50.00,€1.25,"Dec 29, 2020, 2:57:04 PM"
LTC,Buy,0.09580703,€104.38,€10.00,€0.25,"Dec 29, 2020, 2:59:36 PM"
BCH,Buy,0.03510558,€284.85,€10.00,€0.25,"Dec 29, 2020, 3:00:01 PM"
BTC,Buy,0.0004166,"€24,003.84",€10.00,€0.25,"Jan 1, 2021, 1:09:06 PM"
XRP,Sell,300.168189,€0.19,€58.27,€1.46,"Jan 1, 2021, 6:53:39 PM"
BTC,Buy,0.0004178,"€23,934.90",€10.00,€0.25,"Jan 1, 2021, 6:54:19 PM"
ETH,Buy,0.0083556,€598.40,€5.00,€0.12,"Jan 1, 2021, 6:54:57 PM"
LTC,Buy,0.04839375,€103.32,€5.00,€0.12,"Jan 1, 2021, 6:55:53 PM"
BCH,Buy,0.01781565,€280.65,€5.00,€0.12,"Jan 1, 2021, 6:56:29 PM"
BCH,Buy,0.01770025,€282.48,€5.00,€0.12,"Jan 2, 2021, 1:01:10 PM"
LTC,Buy,0.04851295,€103.07,€5.00,€0.12,"Jan 2, 2021, 1:09:23 PM"
ETH,Buy,0.0083496,€598.83,€5.00,€0.12,"Jan 2, 2021, 1:14:02 PM"
BTC,Buy,0.0004079,"€24,515.81",€10.00,€0.25,"Jan 2, 2021, 1:14:13 PM"
BCH,Buy,0.0156129,€320.25,€5.00,€0.12,"Jan 3, 2021, 1:00:52 PM"
LTC,Buy,0.0400546,€124.83,€5.00,€0.12,"Jan 3, 2021, 1:07:13 PM"
ETH,Buy,0.00736035,€679.32,€5.00,€0.12,"Jan 3, 2021, 1:11:04 PM"
BTC,Buy,0.0003552,"€28,153.15",€10.00,€0.25,"Jan 3, 2021, 1:11:15 PM"
BTC,Buy,0.00006733,"€26,881.72",€1.81,€0.05,"Jan 3, 2021, 7:04:18 PM"
BTC,Buy,0.00040825,"€24,494.22",€10.00,€0.25,"Jan 4, 2021, 12:39:50 PM"
BCH,Buy,0.01520021,€328.94,€5.00,€0.12,"Jan 4, 2021, 1:00:56 PM"
LTC,Buy,0.04047875,€123.52,€5.00,€0.12,"Jan 4, 2021, 1:09:42 PM"
ETH,Buy,0.00630174,€793.43,€5.00,€0.12,"Jan 4, 2021, 1:15:17 PM"
BTC,Buy,0.00039771,"€25,143.41",€10.00,€0.25,"Jan 4, 2021, 1:15:33 PM"
BCH,Buy,0.01474573,€339.08,€5.00,€0.12,"Jan 5, 2021, 1:00:58 PM"
LTC,Buy,0.03992313,€125.24,€5.00,€0.12,"Jan 5, 2021, 1:09:36 PM"
ETH,Buy,0.00590746,€846.39,€5.00,€0.12,"Jan 5, 2021, 1:14:32 PM"
BTC,Buy,0.00038519,"€25,960.66",€10.00,€0.25,"Jan 5, 2021, 1:14:46 PM"
BCH,Buy,0.01389488,€359.84,€5.00,€0.12,"Jan 6, 2021, 1:01:35 PM"
LTC,Buy,0.03759272,€133.00,€5.00,€0.12,"Jan 6, 2021, 1:12:41 PM"
ETH,Buy,0.00537533,€930.17,€5.00,€0.12,"Jan 6, 2021, 1:20:04 PM"
BTC,Buy,0.00035278,"€28,345.90",€10.00,€0.25,"Jan 6, 2021, 1:20:23 PM"
BCH,Buy,0.01364153,€366.53,€5.00,€0.12,"Jan 7, 2021, 1:01:57 PM"
LTC,Buy,0.03629946,€137.74,€5.00,€0.12,"Jan 7, 2021, 1:12:36 PM"
ETH,Buy,0.00507188,€985.83,€5.00,€0.12,"Jan 7, 2021, 1:19:08 PM"
BTC,Buy,0.00032358,"€30,903.96",€10.00,€0.25,"Jan 7, 2021, 1:19:25 PM"
BCH,Buy,0.0136779,€365.55,€5.00,€0.12,"Jan 8, 2021, 1:01:22 PM"
LTC,Buy,0.03544955,€141.05,€5.00,€0.12,"Jan 8, 2021, 1:11:37 PM"
ETH,Buy,0.00485746,"€1,029.34",€5.00,€0.12,"Jan 8, 2021, 1:18:16 PM"
BTC,Buy,0.00029418,"€33,992.45",€10.00,€0.25,"Jan 8, 2021, 1:18:34 PM"
BCH,Buy,0.0135151,€369.96,€5.00,€0.12,"Jan 9, 2021, 1:01:10 PM"
LTC,Buy,0.03541955,€141.16,€5.00,€0.12,"Jan 9, 2021, 1:10:25 PM"
ETH,Buy,0.00497255,"€1,005.52",€5.00,€0.12,"Jan 9, 2021, 1:16:18 PM"
BTC,Buy,0.0002984,"€33,512.06",€10.00,€0.25,"Jan 9, 2021, 1:16:35 PM"
BCH,Buy,0.01072845,€466.05,€5.00,€0.12,"Jan 10, 2021, 1:01:18 PM"
LTC,Buy,0.03535665,€141.42,€5.00,€0.12,"Jan 10, 2021, 1:10:14 PM"
ETH,Buy,0.0047372,"€1,055.48",€5.00,€0.12,"Jan 10, 2021, 1:16:01 PM"
BTC,Buy,0.0003079,"€32,478.08",€10.00,€0.25,"Jan 10, 2021, 1:16:15 PM"
BCH,Buy,0.01247017,€400.96,€5.00,€0.12,"Jan 11, 2021, 1:01:27 PM"
LTC,Buy,0.04362415,€114.62,€5.00,€0.12,"Jan 11, 2021, 1:14:14 PM"
ETH,Buy,0.00559389,€893.83,€5.00,€0.12,"Jan 11, 2021, 1:22:24 PM"
BTC,Buy,0.00035299,"€28,329.09",€10.00,€0.25,"Jan 11, 2021, 1:22:45 PM"
BCH,Buy,0.01256984,€397.78,€5.00,€0.12,"Jan 12, 2021, 1:01:11 PM"
LTC,Buy,0.04283,€116.74,€5.00,€0.12,"Jan 12, 2021, 1:10:56 PM"
ETH,Buy,0.00549924,€909.22,€5.00,€0.12,"Jan 12, 2021, 1:17:33 PM"
BTC,Buy,0.00034208,"€29,232.84",€10.00,€0.25,"Jan 12, 2021, 1:17:49 PM"
BCH,Buy,0.01281751,€390.09,€5.00,€0.12,"Jan 13, 2021, 1:01:30 PM"
LTC,Buy,0.04445943,€112.46,€5.00,€0.12,"Jan 13, 2021, 1:14:02 PM"
ETH,Buy,0.0057836,€864.51,€5.00,€0.12,"Jan 13, 2021, 1:22:09 PM"
BTC,Buy,0.00035622,"€28,072.54",€10.00,€0.25,"Jan 13, 2021, 1:22:29 PM"
BCH,Buy,0.01195103,€418.37,€5.00,€0.12,"Jan 14, 2021, 1:01:33 PM"
LTC,Buy,0.04150377,€120.47,€5.00,€0.12,"Jan 14, 2021, 1:12:47 PM"
ETH,Buy,0.00524891,€952.58,€5.00,€0.14,"Jan 14, 2021, 1:19:50 PM"
BTC,Buy,0.00031872,"€31,375.21",€10.00,€0.30,"Jan 14, 2021, 1:20:07 PM"
BCH,Buy,0.01196089,€418.03,€5.00,€0.14,"Jan 15, 2021, 1:01:28 PM"
LTC,Buy,0.04085536,€122.38,€5.00,€0.14,"Jan 15, 2021, 1:14:05 PM"
