Type,Date,Fuseau horaire,Montant reçu,Monnaie ou jeton reçu,Montant envoyé,Monnaie ou jeton envoyé,Frais,Monnaie ou jeton des frais,Exchange / Plateforme,Description,Label,Prix du jeton du montant envoyé,Prix du jeton du montant recu,Prix du jeton des frais,Adresse,Transaction hash,ID Externe
Dépôt,12/06/2018 14:16:32,GMT,0.01713112,BTC,,,,,Revolut - account-statement.csv,Exchanged to SOL,,,5708.036473,,,,
Retrait,19/08/2018 20:43:55,GMT,,,0.008196,BTC,,,Revolut - account-statement.csv,Exchanged to SOL,Paiement,5504.071,,,,,
Retrait,27/08/2018 08:09:18,GMT,,,0.008791,BTC,,,Revolut - account-statement.csv,Exchanged to SOL,Paiement,5687.4326,,,,,
Retrait,05/03/2019 09:37:56,GMT,,,0.000142,BTC,,,Revolut - account-statement.csv,Exchanged to SOL,Paiement,3237.3057,,,,,
Dépôt,28/03/2020 17:17:03,GMT,0.0087862,BTC,,,,,Revolut - account-statement.csv,Exchanged to SOL,,,5622.328071,,,,
Retrait,30/03/2020 22:30:08,GMT,,,0.003389,BTC,,,Revolut - account-statement.csv,Exchanged to SOL,Paiement,5901.2276,,,,,
Dépôt,13/04/2020 11:49:57,GMT,0.00862756,BTC,,,,,Revolut - account-statement.csv,Exchanged to SOL,,,6246.12865,,,,
Retrait,12/05/2020 06:17:27,GMT,,,0.012578,BTC,1.72,EUR,Revolut - account-statement.csv,Exchanged to SOL,Paiement,7850.3943,,,,,
Retrait,27/05/2020 13:38:44,GMT,,,0.001449,BTC,,,Revolut - account-statement.csv,Exchanged to SOL,Paiement,8116.3246,,,,,
Dépôt,29/12/2020 13:50:58,GMT,0.00045547,BTC,,,0.000011,BTC,Revolut - account-statement.csv,Exchanged to SOL,,,22035.51548,22035.51548,,,
Dépôt,29/12/2020 13:54:12,GMT,0.0167597,ETH,,,0.00042,ETH,Revolut - account-statement.csv,Exchanged to SOL,,,593.4078711,593.4078711,,,
Dépôt,29/12/2020 13:57:04,GMT,307.884919,XRP,,,7.71673,XRP,Revolut - account-statement.csv,Exchanged to SOL,,,0.182072721,0.182072721,,,
Dépôt,29/12/2020 13:59:36,GMT,0.09580703,LTC,,,0.002402,LTC,Revolut - account-statement.csv,Exchanged to SOL,,,104.3967394,104.3967394,,,
Dépôt,29/12/2020 14:00:01,GMT,0.03510558,BCH,,,0.000881,BCH,Revolut - account-statement.csv,Exchanged to SOL,,,287.4841109,287.4841109,,,
Dépôt,01/01/2021 12:09:06,GMT,0.0004166,BTC,,,0.00001,BTC,Revolut - account-statement.csv,Exchanged to SOL,,,23969.17129,23969.17129,,,
Retrait,01/01/2021 17:53:39,GMT,,,300.168189,XRP,1.46,EUR,Revolut - account-statement.csv,Exchanged to SOL,Paiement,0.19,,,,,
Dépôt,01/01/2021 17:54:19,GMT,0.0004178,BTC,,,0.00001,BTC,Revolut - account-statement.csv,Exchanged to SOL,,,23969.17129,23969.17129,,,
Dépôt,01/01/2021 17:54:57,GMT,0.0083556,ETH,,,0.000201,ETH,Revolut - account-statement.csv,Exchanged to SOL,,,602.7991206,602.7991206,,,
