Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
10/03/2020 17:48:01,,CASH TOP-UP,,,30.00,USD,1.1324686027
10/03/2020 17:48:28,BLK,BUY,0.02245576,445.32,10.00,USD,1.1324878383
10/03/2020 17:50:01,GOOGL,BUY,0.00815228,1226.65,10.00,USD,1.1321679699
10/03/2020 17:54:39,FB,BUY,0.05819705,171.83,10.00,USD,1.1320686486
11/03/2020 22:03:20,,CASH TOP-UP,,,20.00,USD,1.1265965206
13/04/2020 14:44:00,,CASH TOP-UP,,,100.09,USD,1.091033078
13/04/2020 14:46:04,,CASH TOP-UP,,,9.05,USD,1.0909938037
13/04/2020 14:46:16,,CASH TOP-UP,,,0.01,USD,1.0909236384
13/04/2020 14:46:27,,CASH TOP-UP,,,0.01,USD,1.0909378723
13/04/2020 14:49:00,AMZN,BUY,0.0326091,2120.88,69.16,USD,1.0912294922
13/04/2020 14:51:22,AAPL,BUY,0.2244417,267.33,60.00,USD,1.0907594064
14/04/2020 14:26:42,,CASH TOP-UP,,,100.00,USD,1.0972633120
14/04/2020 14:27:33,TSLA,BUY,0.13681949,730.89,100.00,USD,1.0967158534
27/04/2020 12:40:59,,CASH TOP-UP,,,200.00,USD,1.0848176983
28/04/2020 14:39:46,GOOGL,BUY,0.07066582,1273.60,91.08,USD,1.0857578394
07/05/2020 19:49:17,AAPL,BUY,0.13194352,303.16,40.00,USD,1.0832049565
07/05/2020 19:51:30,,CASH TOP-UP,,,416.55,USD,1.0830124276
07/05/2020 19:52:36,FB,BUY,0.42716787,210.69,90.00,USD,1.0829374163
07/05/2020 19:52:55,BLK,BUY,0.18110109,496.96,90.00,USD,1.0828824081
15/05/2020 06:11:18,AAPL,DIVIDEND,,,0.25,USD,1.0808621051
31/05/2020 23:30:04,,CUSTODY_FEE,,,-0.01,USD,1.1118967596
01/06/2020 10:39:01,,CASH TOP-UP,,,235.24,USD,1.1113416763
16/06/2020 16:46:32,MSFT,BUY,0.51541078,194.02,100.00,USD,1.1276
16/06/2020 16:47:01,AMZN,BUY,0.01179349,2615.00,30.84,USD,1.1273690802
16/06/2020 16:55:48,NFLX,BUY,0.22972662,435.30,100.00,USD,1.1269391263
22/06/2020 15:05:29,,CASH TOP-UP,,,315.32,USD,1.1251420532
24/06/2020 05:25:25,BLK,DIVIDEND,,,0.63,USD,1.1317497421
30/06/2020 21:50:58,,CASH TOP-UP,,,405.39,USD,1.1233284746
30/06/2020 23:24:31,,CUSTODY_FEE,,,-0.01,USD,1.1235835124
09/07/2020 17:25:13,NVDA,BUY,0.71744589,418.15,300.00,USD,1.1295194027
09/07/2020 17:26:52,ADBE,BUY,0.65535094,457.77,300.00,USD,1.1294193876
09/07/2020 17:31:45,DDOG,BUY,3.12304809,96.06,300.00,USD,1.1294093862
31/07/2020 23:10:03,,CUSTODY_FEE,,,-0.02,USD,1.1836061713
14/08/2020 05:29:54,AAPL,DIVIDEND,,,0.25,USD,1.1820272770
20/08/2020 16:20:42,TSLA,SELL,0.0361623,1991.30,72.01,USD,1.1859934110
24/08/2020 17:00:17,NVDA,SELL,0.12803088,507.69,65.00,USD,1.1801269927
24/08/2020 17:01:28,ADBE,SELL,0.23281554,472.52,110.01,USD,1.1803670286
31/08/2020 08:18:47,AAPL,STOCK SPLIT,1.06915566,,,USD,1.1897334333
31/08/2020 08:21:22,TSLA,STOCK SPLIT,0.40262876,,,USD,1.189728500
31/08/2020 23:07:42,,CUSTODY_FEE,,,-0.01,USD,1.1938640089
11/09/2020 06:32:44,MSFT,DIVIDEND,,,0.22,USD,1.1839
23/09/2020 05:29:13,BLK,DIVIDEND,,,0.63,USD,1.1688
25/09/2020 05:33:32,NVDA,DIVIDEND,,,0.08,USD,1.1672700643
30/09/2020 23:22:32,,CUSTODY_FEE,,,-0.02,USD,1.1731909520
05/10/2020 13:30:27,DDOG,SELL,1.1165808,104.79,117.01,USD,1.1770465306
31/10/2020 23:17:33,,CUSTODY_FEE,,,-0.01,USD,1.1763335663
02/11/2020 17:34:20,NFLX,BUY,0.18705574,481.14,90.00,USD,1.1630144261
02/11/2020 17:35:06,AMZN,BUY,0.02346741,2982.86,70.00,USD,1.1631213524
02/11/2020 17:35:54,FB,BUY,0.30575195,261.65,80.00,USD,1.1631694494
13/11/2020 07:05:27,AAPL,DIVIDEND,,,0.25,USD,1.1806420698
19/11/2020 16:36:14,TSLA,SELL,0.09872083,506.58,50.01,USD,1.1844801455
19/11/2020 16:36:56,NVDA,SELL,0.18812309,531.62,100.01,USD,1.1842766133
30/11/2020 15:38:26,,CASH TOP-UP,,,23.96,USD,1.1987497856
30/11/2020 23:55:41,,CUSTODY_FEE,,,-0.02,USD,1.1939290627
11/12/2020 06:43:00,MSFT,DIVIDEND,,,0.25,USD,1.2161357278
22/12/2020 06:46:13,BLK,DIVIDEND,,,0.63,USD,1.2222333076
22/12/2020 15:43:15,PLUG,BUY,5.52944429,36.17,200.00,USD,1.2205330526
22/12/2020 15:46:54,NIO,BUY,4.14937759,48.20,200.00,USD,1.2204380384
22/12/2020 15:49:02,MSFT,BUY,0.14103479,224.20,31.62,USD,1.2198479498
22/12/2020 18:01:42,TSLA,SELL,0.08033347,622.53,50.01,USD,1.2176
22/12/2020 18:02:09,GOOGL,BUY,0.02914585,1715.51,50.00,USD,1.2175
24/12/2020 17:20:32,,CASH TOP-UP,,,600.00,USD,1.218652607
24/12/2020 17:21:44,BABA,BUY,0.90738542,219.08,198.79,USD,1.2186362735
28/12/2020 14:40:06,REGI,BUY,2.62554484,75.71,198.78,USD,1.2234
28/12/2020 14:44:29,JD,BUY,2.38660103,83.29,198.78,USD,1.2235985124
28/12/2020 15:50:46,,CASH TOP-UP,,,1000.00,USD,1.2214981974
28/12/2020 15:52:55,SHOP,BUY,0.17006459,1168.85,198.78,USD,1.2214133205
28/12/2020 15:53:33,TEAM,BUY,0.85258417,233.15,198.78,USD,1.2215296785
28/12/2020 15:56:58,V,BUY,0.9376415,212.00,198.78,USD,1.2211046318
28/12/2020 15:57:42,MA,BUY,0.52142211,342.87,178.78,USD,1.2209931216
28/12/2020 15:58:01,MA,BUY,0.05476655,342.91,18.78,USD,1.2211831505
29/12/2020 18:52:29,REGI,BUY,0.72042534,67.71,48.78,USD,1.2248336976
30/12/2020 07:28:26,NVDA,DIVIDEND,,,0.05,USD,1.2286093093
01/01/2021 01:57:58,,CUSTODY_FEE,,,-0.03,USD,1.2219
07/01/2021 14:40:37,PLUG,SELL,1.08434518,46.12,50.01,USD,1.226849089
07/01/2021 14:42:02,REGI,SELL,1.13660643,87.99,100.01,USD,1.2269220757
07/01/2021 14:43:56,MA,BUY,0.5698168,350.99,200.00,USD,1.2266602683
07/01/2021 14:52:03,,CASH TOP-UP,,,1000.00,USD,1.2264565376
07/01/2021 14:54:04,V,BUY,0.93205795,213.27,198.78,USD,1.2262564876
07/01/2021 14:55:24,AAPL,BUY,1.54308337,128.82,198.78,USD,1.226068604
07/01/2021 14:58:09,MSFT,BUY,0.91582584,217.05,198.78,USD,1.2260914463
11/01/2021 14:42:22,DDOG,SELL,2.00646729,100.00,200.65,USD,1.2154337827
15/01/2021 16:55:23,PLUG,SELL,1.17995028,60.35,71.21,USD,1.2098419286
15/01/2021 16:56:22,NIO,SELL,0.72247545,57.04,41.21,USD,1.209836919
25/01/2021 14:33:34,BB,BUY,10.25641025,19.50,200.00,USD,1.2150029522
25/01/2021 14:34:22,PLTR,BUY,5.78034682,34.60,200.00,USD,1.2149929504
25/01/2021 14:34:33,GME,BUY,4.100041,97.56,400.00,USD,1.2148179152
27/01/2021 13:50:27,,CASH TOP-UP,,,1000.00,USD,1.2105420637
27/01/2021 14:31:07,GME,SELL,0.100041,295.98,29.61,USD,1.2101519825
27/01/2021 16:14:18,GME,SELL,1,347.98,347.98,USD,1.2094968512
27/01/2021 17:26:52,GME,SELL,1,292.00,292.00,USD,1.2108171158
27/01/2021 19:06:20,AMC,BUY,20,17.74,354.80,USD,1.2117022917
27/01/2021 20:00:13,BB,SELL,0.25641025,26.29,6.74,USD,1.2100819688
