Date acquired,Date sold,Symbol,Quantity,Cost basis,Gross proceeds,Gross PnL,Fees,Net PnL,Currency
2018-06-12,2018-07-20,BTC,0.00893541,58.8,65.73,6.93,0,6.93,USD
2018-06-12,2018-08-19,BTC,0.00819571,53.94,53.37,-0.57,0,-0.57,USD
2018-08-21,2018-08-27,BTC,0.00879132,56.4,60.53,4.13,0,4.13,USD
2018-08-21,2019-03-05,BTC,0.0001421,0.91,0.52,-0.39,0,-0.39,USD
2018-08-21,2020-03-30,BTC,0.00000199,0.01,0.01,0,0,0,USD
2020-03-28,2020-03-30,BTC,0.00338714,21.47,22.1,0.63,0,0.63,USD
2020-03-28,2020-05-12,BTC,0.00539906,34.22,46.37,12.15,0,12.15,USD
2020-04-13,2020-05-12,BTC,0.00717894,49.67,61.65,11.98,0,11.98,USD
2020-04-13,2020-05-27,BTC,0.00144862,10.02,12.93,2.91,0,2.91,USD
2020-12-29,2021-01-01,XRP,300.168189,59.72,71.2,11.48,3.32,8.16,USD
2020-12-29,2021-02-26,BTC,0.00044406,11.94,20.68,8.74,0.61,8.13,USD
2021-01-01,2021-02-26,BTC,0.00040616,11.91,18.91,7,0.59,6.41,USD
2021-01-01,2021-02-26,BTC,0.00040733,11.91,18.97,7.06,0.59,6.47,USD
2021-01-02,2021-02-26,BTC,0.00039768,11.91,18.52,6.61,0.58,6.03,USD
2021-01-03,2021-02-26,BTC,0.0003463,11.91,16.12,4.21,0.54,3.67,USD
2021-01-03,2021-02-26,BTC,0.00006546,2.15,3.05,0.9,0.11,0.79,USD
2021-01-04,2021-02-26,BTC,0.00039801,11.98,18.53,6.55,0.58,5.97,USD
2021-01-04,2021-02-26,BTC,0.00038774,11.99,18.05,6.06,0.58,5.48,USD
2021-01-05,2021-02-26,BTC,0.00037553,11.97,17.48,5.51,0.57,4.94,USD
2021-01-06,2021-02-26,BTC,0.00034394,12.03,16.01,3.98,0.55,3.43,USD
2021-01-07,2021-02-26,BTC,0.00031547,11.95,14.69,2.74,0.52,2.22,USD
2021-01-08,2021-02-26,BTC,0.0002868,11.94,13.35,1.41,0.5,0.91,USD
2021-01-09,2021-02-26,BTC,0.00029091,11.91,13.54,1.63,0.51,1.12,USD
2021-01-10,2021-02-26,BTC,0.00030017,11.91,13.98,2.07,0.51,1.56,USD
2021-01-11,2021-02-26,BTC,0.00034413,11.85,16.02,4.17,0.54,3.63,USD
2021-01-12,2021-02-26,BTC,0.00033351,11.84,15.53,3.69,0.53,3.16,USD
2021-01-13,2021-02-26,BTC,0.00034729,11.86,16.17,4.31,0.54,3.77,USD
2021-01-14,2021-02-26,BTC,0.00030913,11.78,14.39,2.61,0.58,2.03,USD
2021-01-15,2021-02-26,BTC,0.00031009,11.75,14.44,2.69,0.58,2.11,USD
2021-01-16,2021-02-26,BTC,0.00031185,11.71,14.52,2.81,0.58,2.23,USD
2021-01-17,2021-02-26,BTC,0.00032989,11.71,15.36,3.65,0.59,3.06,USD
2021-01-18,2021-02-26,BTC,0.00031331,11.7,14.59,2.89,0.58,2.31,USD
