Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-03-10T17:48:01.781232Z,,CASH TOP-UP,,,$30,USD,1.1325
2020-03-10T17:48:28.920115Z,BLK,BUY - MARKET,0.02245576,$445.32,$10,USD,1.1325
2020-03-10T17:50:01.464271Z,GOOGL,BUY - MARKET,0.00815228,"$1,226.65",$10,USD,1.1322
2020-03-10T17:54:39.979734Z,META,BUY - MARKET,0.05819705,$171.83,$10,USD,1.1321
2020-03-11T22:03:20.007450Z,,CASH TOP-UP,,,$20,USD,1.1266
2020-04-13T14:44:00.677801Z,,CASH TOP-UP,,,$100.09,USD,1.0911
2020-04-13T14:46:04.642760Z,,CASH TOP-UP,,,$9.05,USD,1.091
2020-04-13T14:46:16.749588Z,,CASH TOP-UP,,,$0.01,USD,1.091
2020-04-13T14:46:27.753796Z,,CASH TOP-UP,,,$0.01,USD,1.091
2020-04-13T14:49:00.241348Z,AMZN,BUY - MARKET,0.0326091,"$2,120.88",$69.16,USD,1.0913
2020-04-13T14:51:22.250321Z,AAPL,BUY - MARKET,0.2244417,$267.33,$60,USD,1.0908
2020-04-14T14:26:42.746131Z,,CASH TOP-UP,,,$100,USD,1.0973
2020-04-14T14:27:33.186771Z,TSLA,BUY - MARKET,0.13681949,$730.89,$100,USD,1.0968
2020-04-27T12:40:59.258966Z,,CASH TOP-UP,,,$200,USD,1.0849
2020-04-28T14:39:46.211111Z,GOOGL,BUY - MARKET,0.07066582,"$1,273.60",$91.08,USD,1.0858
2020-05-07T19:49:17.872893Z,AAPL,BUY - MARKET,0.13194352,$303.16,$40,USD,1.0833
2020-05-07T19:51:30.411717Z,,CASH TOP-UP,,,$416.55,USD,1.0831
2020-05-07T19:52:36.138915Z,META,BUY - MARKET,0.42716787,$210.69,$90,USD,1.083
2020-05-07T19:52:55.451851Z,BLK,BUY - MARKET,0.18110109,$496.96,$90,USD,1.0829
2020-05-15T06:24:11.340741Z,AAPL,DIVIDEND,,,$0.25,USD,1.0811
2020-05-31T23:30:04.708240Z,,CUSTODY FEE,,,-$0.01,USD,1.1119
2020-06-01T10:39:01.248585Z,,CASH TOP-UP,,,$235.24,USD,1.1114
2020-06-16T16:46:32.638728Z,MSFT,BUY - MARKET,0.51541078,$194.02,$100,USD,1.1276
2020-06-16T16:47:01.719599Z,AMZN,BUY - MARKET,0.01179349,"$2,615",$30.84,USD,1.1274
2020-06-16T16:55:48.628022Z,NFLX,BUY - MARKET,0.22972662,$435.30,$100,USD,1.127
2020-06-22T15:05:29.303140Z,,CASH TOP-UP,,,$315.32,USD,1.1252
2020-06-24T05:28:27.129752Z,BLK,DIVIDEND,,,$0.63,USD,1.1318
2020-06-30T21:50:58.886695Z,,CASH TOP-UP,,,$405.39,USD,1.1234
2020-06-30T23:24:31.681429Z,,CUSTODY FEE,,,-$0.01,USD,1.1236
2020-07-09T17:25:13.212450Z,NVDA,BUY - MARKET,0.71744589,$418.15,$300,USD,1.1296
2020-07-09T17:26:52.592838Z,ADBE,BUY - MARKET,0.65535094,$457.77,$300,USD,1.1295
2020-07-09T17:31:45.099060Z,DDOG,BUY - MARKET,3.12304809,$96.06,$300,USD,1.1295
2020-07-31T23:10:03.109868Z,,CUSTODY FEE,,,-$0.02,USD,1.1837
2020-08-14T07:03:09.754205Z,AAPL,DIVIDEND,,,$0.25,USD,1.1812
2020-08-20T16:20:42.271840Z,TSLA,SELL - MARKET,0.0361623,"$1,991.30",$72,USD,1.186
2020-08-24T17:00:17.748185Z,NVDA,SELL - MARKET,0.12803088,$507.69,$64.99,USD,1.1802
2020-08-24T17:01:28.949603Z,ADBE,SELL - MARKET,0.23281554,$472.52,$110,USD,1.1804
2020-08-31T08:18:47.543246Z,AAPL,STOCK SPLIT,1.06915566,,$0,USD,1.1898
2020-08-31T08:21:22.506845Z,TSLA,STOCK SPLIT,0.40262876,,$0,USD,1.1898
2020-08-31T23:07:42.109974Z,,CUSTODY FEE,,,-$0.01,USD,1.1939
2020-09-11T07:16:41.071772Z,MSFT,DIVIDEND,,,$0.22,USD,1.1842
2020-09-23T05:33:38.446467Z,BLK,DIVIDEND,,,$0.63,USD,1.1686
2020-09-25T05:35:36.402475Z,NVDA,DIVIDEND,,,$0.08,USD,1.1674
2020-09-30T23:22:32.478039Z,,CUSTODY FEE,,,-$0.02,USD,1.1732
2020-10-05T13:30:27.104335Z,DDOG,SELL - MARKET,1.1165808,$104.79,$117,USD,1.1771
2020-10-31T23:17:33.849742Z,,CUSTODY FEE,,,-$0.01,USD,1.1764
2020-11-02T17:34:20.887409Z,NFLX,BUY - MARKET,0.18705574,$481.14,$90,USD,1.1631
2020-11-02T17:35:06.007085Z,AMZN,BUY - MARKET,0.02346741,"$2,982.86",$70,USD,1.1632
2020-11-02T17:35:54.583836Z,META,BUY - MARKET,0.30575195,$261.65,$80,USD,1.1632
2020-11-13T07:18:00.520527Z,AAPL,DIVIDEND,,,$0.25,USD,1.1806
2020-11-19T16:36:14.983465Z,TSLA,SELL - MARKET,0.09872083,$506.58,$50,USD,1.1845
2020-11-19T16:36:56.826727Z,NVDA,SELL - MARKET,0.18812309,$531.62,$100,USD,1.1843
2020-11-30T15:38:26.025904Z,,CASH TOP-UP,,,$23.96,USD,1.1988
2020-11-30T23:55:41.758323Z,,CUSTODY FEE,,,-$0.02,USD,1.194
2020-12-11T06:57:11.806411Z,MSFT,DIVIDEND,,,$0.25,USD,1.2161
2020-12-22T06:53:50.596558Z,BLK,DIVIDEND,,,$0.63,USD,1.222
2020-12-22T15:43:15.880712Z,PLUG,BUY - MARKET,5.52944429,$36.17,$200,USD,1.2206
2020-12-22T15:46:54.695392Z,NIO,BUY - MARKET,4.14937759,$48.20,$200,USD,1.2205
2020-12-22T15:49:02.530502Z,MSFT,BUY - MARKET,0.14103479,$224.20,$31.62,USD,1.2199
2020-12-22T18:01:42.844971Z,TSLA,SELL - MARKET,0.08033347,$622.53,$50,USD,1.2176
2020-12-22T18:02:09.290778Z,GOOGL,BUY - MARKET,0.02914585,"$1,715.51",$50,USD,1.2175
2020-12-24T17:20:32.743419Z,,CASH TOP-UP,,,$600,USD,1.2187
2020-12-24T17:21:44.047080Z,BABA,BUY - MARKET,0.90738542,$219.08,$200,USD,1.2187
2020-12-28T14:40:06.266216Z,REGI,BUY - MARKET,2.62554484,$75.71,$200,USD,1.2234
2020-12-28T14:44:29.399191Z,JD,BUY - MARKET,2.38660103,$83.29,$200,USD,1.2236
2020-12-28T15:50:46.502270Z,,CASH TOP-UP,,,"$1,000",USD,1.2215
2020-12-28T15:52:55.333263Z,SHOP,BUY - MARKET,0.17006459,"$1,168.85",$200,USD,1.2215
2020-12-28T15:53:33.066143Z,TEAM,BUY - MARKET,0.85258417,$233.15,$200,USD,1.2216
2020-12-28T15:56:58.180628Z,V,BUY - MARKET,0.9376415,$212,$200,USD,1.2212
2020-12-28T15:57:42.500821Z,MA,BUY - MARKET,0.52142211,$342.87,$180,USD,1.221
2020-12-28T15:58:01.274096Z,MA,BUY - MARKET,0.05476655,$342.91,$20,USD,1.2212
2020-12-29T18:52:29.911428Z,REGI,BUY - MARKET,0.72042534,$67.71,$50,USD,1.2249
2020-12-30T07:42:41.993337Z,NVDA,DIVIDEND,,,$0.05,USD,1.2279
2021-01-01T01:57:58.083873Z,,CUSTODY FEE,,,-$0.03,USD,1.2219
2021-01-07T14:40:37.494576Z,PLUG,SELL - MARKET,1.08434518,$46.12,$50,USD,1.2269
2021-01-07T14:42:02.175953Z,REGI,SELL - MARKET,1.13660643,$87.99,$100,USD,1.227
2021-01-07T14:43:56.738700Z,MA,BUY - MARKET,0.5698168,$350.99,$200,USD,1.2267
2021-01-07T14:52:03.444681Z,,CASH TOP-UP,,,"$1,000",USD,1.2265
2021-01-07T14:54:04.769884Z,V,BUY - MARKET,0.93205795,$213.27,$200,USD,1.2263
2021-01-07T14:55:24.428892Z,AAPL,BUY - MARKET,1.54308337,$128.82,$200,USD,1.2261
2021-01-07T14:58:09.408371Z,MSFT,BUY - MARKET,0.91582584,$217.05,$200,USD,1.2261
2021-01-11T14:42:22.490806Z,DDOG,SELL - MARKET,2.00646729,$100,$199.43,USD,1.2155
2021-01-15T16:55:23.333021Z,PLUG,SELL - MARKET,1.17995028,$60.35,$70,USD,1.2099
2021-01-15T16:56:22.212820Z,NIO,SELL - MARKET,0.72247545,$57.04,$40,USD,1.2099
2021-01-25T14:33:34.994744Z,BB,BUY - MARKET,10.25641025,$19.50,$201.21,USD,1.2151
2021-01-25T14:34:22.042644Z,PLTR,BUY - MARKET,5.78034682,$34.60,$201.21,USD,1.215
2021-01-25T14:34:33.853691Z,GME,BUY - MARKET,4.100041,$97.56,$401.21,USD,1.2149
2021-01-27T13:50:27.559712Z,,CASH TOP-UP,,,"$1,000",USD,1.2106
2021-01-27T14:31:07.127330Z,GME,SELL - MARKET,0.100041,$295.98,$28.39,USD,1.2102
2021-01-27T16:14:18.204877Z,GME,SELL - STOP,1,$347.98,$346.76,USD,1.2095
2021-01-27T17:26:52.674307Z,GME,SELL - STOP,1,$292,$290.78,USD,1.2109
2021-01-27T19:06:20.212806Z,AMC,BUY - MARKET,20,$17.74,$354.80,USD,1.2118
2021-01-27T20:00:13.133144Z,BB,SELL - MARKET,0.25641025,$26.29,$6.73,USD,1.2101
2021-01-28T14:30:23.550230Z,MA,BUY - MARKET,0.15290519,$327,$50,USD,1.2127
